,fluxes
rxn05561_c0,0.0
rxn00935_c0,0.0
rxn00247_c0,0.0
rxn05625_c0,0.0
rxn02342_c0,0.0
rxn01452_c0,0.0
rxn00973_c0,0.15625034379869474
rxn10118_c0,0.0
rxn00199_c0,0.15763036323621987
rxn00545_c0,4.871642565874124
rxn10126_c0,0.0
rxn05040_c0,0.0027600388750502747
rxn08556_c0,0.0
rxn01806_c0,0.0
rxn06493_c0,0.0
rxn02376_c0,0.0
rxn00568_c0,0.0
rxn00762_c0,-3.122893389567836
rxn08971_c0,0.0
rxn00225_c0,-4.216985757280153
rxn00148_c0,-3.7980351738804536
rxn00781_c0,6.428049172522668
rxn05319_c0,-0.6395217595502121
rxn00171_c0,0.16728813174591226
rxn00178_c0,0.0
rxn10125_c0,0.0
rxn00549_c0,0.0
rxn02380_c0,0.0
rxn05938_c0,0.0
rxn05581_c0,3.1279989661424876
rxn00336_c0,0.0
rxn05145_c0,0.0
rxn01872_c0,0.0
rxn00248_c0,-0.4681175007065254
rxn00499_c0,0.0
rxn00392_c0,0.0009200129583500899
rxn00747_c0,-1.7120901273253764
rxn01334_c0,0.0
rxn03884_c0,0.0
rxn03240_c0,0.0
rxn00147_c0,0.0
rxn00777_c0,-0.059538617835348986
rxn02314_c0,0.0
rxn00251_c0,-0.6243678445052201
rxn00285_c0,0.11331864201862576
rxn04794_c0,0.0
rxn01871_c0,0.0
rxn00875_c0,0.0
rxn05488_c0,-4.303658705307348
rxn00786_c0,4.871642565874124
rxn01100_c0,-6.428049172522668
rxn00102_c0,-0.5268044989060485
rxn00512_c0,0.0
rxn10114_c0,0.0
rxn08527_c0,0.03484915642344913
rxn00173_c0,4.216985757280153
rxn10122_c0,0.0
rxn00500_c0,0.0
rxn00994_c0,0.0
rxn01477_c0,0.0
rxn01123_c0,0.0
rxn08557_c0,0.0
rxn01116_c0,-0.07459842626095566
rxn00670_c0,0.0
rxn01870_c0,0.0
rxn08901_c0,0.0
rxn01106_c0,-6.428049172522668
rxn00616_c0,-0.03573903602255991
rxn10042_c0,-0.46967163429572645
rxn00543_c0,0.0
rxn00160_c0,0.0
rxn00265_c0,0.0
rxn05602_c0,0.0
rxn01476_c0,0.0
rxn01333_c0,-0.0172340935152393
rxn03978_c0,0.0
rxn00159_c0,0.0
rxn00799_c0,0.4681175007065254
rxn00011_c0,-0.2874081128326442
rxn00602_c0,0.0
rxn05528_c0,0.0
rxn08975_c0,0.0
rxn05559_c0,-4.6814736386710605
rxn00459_c0,6.428049172522668
rxn00770_c0,0.10937057270283301
rxn05209_c0,-0.3996037295223882
rxn00175_c0,0.0
rxn10121_c0,0.0
rxn10120_c0,0.0
rxn01387_c0,0.15763036323621987
rxn01115_c0,0.0
rxn00161_c0,0.0
rxn00371_c0,0.0
rxn08655_c0,0.0
rxn03249_c0,0.0
rxn09272_c0,0.0
rxn05226_c0,5.0
rxn00615_c0,0.0
rxn00569_c0,0.0
rxn00083_c0,0.0
rxn00874_c0,0.0
rxn05627_c0,0.0
rxn05313_c0,0.1332012431741294
rxn00785_c0,0.07376402547979222
rxn00216_c0,-0.020499615917593982
rxn00558_c0,4.979500384082406
rxn08178_c0,0.0
rxn00077_c0,0.0004600064791762115
rxn01388_c0,-0.0013800194375251373
rxn01480_c0,0.0
rxn01200_c0,0.0008344007811641151
rxn01241_c0,0.0
rxn00288_c0,0.036689182340149326
rxn00763_c0,0.0
rxn01275_c0,0.0
rxn08656_c0,0.0
rxn00122_c0,0.0004600064791750425
rxn00985_c0,0.0
rxn08094_c0,0.0
rxn08179_c0,0.0
rxn05468_c0,0.003335046974020366
rxn00974_c0,0.0
rxn00256_c0,-0.15625034379869474
rxn02167_c0,0.0
rxn00441_c0,0.0
rxn03250_c0,0.0
rxn00623_c0,-0.03849273024892241
rxn06526_c0,0.0
rxn05937_c0,0.0
rxn00990_c0,0.0
rxn01343_c0,0.0
rxn00224_c0,0.0004600064791750474
rxn00604_c0,0.0
rxn00157_c0,-4.902655724117767
rxn05467_c0,0.0
rxn00330_c0,0.0
rxn14427_c0,0.0
rxn02201_c0,0.0
rxn00351_c0,0.0
rxn00836_c0,0.0
rxn05318_c0,0.0
rxn01094_c0,0.0
rxn08709_c0,0.004099923183518797
rxn00423_c0,0.037112710811396
rxn00364_c0,0.08886138636806995
rxn03408_c0,0.004099923183518797
rxn02177_c0,0.0
rxn05250_c0,0.0
rxn00646_c0,0.0
rxn05440_c0,0.0
rxn01673_c0,0.0
rxn05156_c0,0.0
rxn00642_c0,0.0
rxn00022_c0,0.0
rxn02000_c0,0.004099923183518797
rxn00322_c0,0.0
rxn05457_c0,0.0
rxn00107_c0,0.0
rxn13783_c0,0.16392743711730268
rxn08934_c0,-0.004099923183518796
rxn04600_c0,0.0
rxn07966_c0,0.0
rxn04070_c0,0.0004600064791750474
rxn01358_c0,0.0
rxn10231_c0,0.0
rxn02944_c0,0.0
rxn01867_c0,0.0
rxn10270_c0,0.0
rxn12637_c0,0.0
rxn09240_c0,0.0
rxn01219_c0,0.0
rxn05958_c0,0.0
