row,genes,reactions
0,b0241,rxn08786;rxn08217;rxn09287;rxn08585;rxn08886;rxn08554;rxn09048;rxn09353;rxn09378;rxn07921;rxn08211;rxn08721;rxn09385;rxn09382;rxn08320;rxn08577;rxn09286;rxn08856;rxn08864;rxn08950;rxn09390;rxn08653;rxn05468;rxn08279;rxn05319;rxn08633;rxn08999;rxn05586;rxn08142;rxn09323;rxn08883;rxn09335;rxn08039;rxn09318;rxn09317;rxn08197;rxn09243;rxn08104;rxn08880;rxn08545;rxn09258;rxn09216;rxn08743;rxn08036;rxn05466;rxn08363;rxn08623;rxn08570;rxn08732;rxn08677;rxn08030;rxn08276;rxn09243;rxn08737;rxn08780;rxn05616;rxn05507;rxn08351;rxn12420;rxn08595;rxn08290;rxn05218;rxn09166;rxn09337;rxn08991;rxn08751;rxn08674;rxn08702;rxn08672;rxn09030;rxn08134;rxn08610;rxn08947;rxn08956;rxn08047;rxn05220;rxn08614;rxn08664;rxn08303;rxn08182;rxn09204;rxn08082;rxn09342;rxn08284;rxn08006;rxn08375;rxn08593;rxn08749;rxn08432;rxn08302;rxn09278;rxn08063;rxn08562;rxn09339;rxn08643;rxn08920;rxn08759;rxn09169;rxn08214;rxn09257;rxn07975;rxn08544;rxn09229;rxn05667;rxn07973;rxn08099;rxn08115;rxn08428;rxn08572;rxn09183;rxn08004;rxn08537;rxn08966;rxn05245;rxn07931;rxn08265;rxn05238;rxn09008;rxn08315;rxn08723;rxn07974;rxn08960;rxn08005;rxn05568;rxn09303;rxn08534;rxn08184;rxn09366;rxn08032;rxn09036;rxn08640;rxn08283;rxn08170;rxn09271;rxn09185;rxn08689;rxn08155;rxn05581;rxn05212;rxn08915;rxn09299;rxn08566;rxn08159;rxn08540;rxn08600;rxn08985;rxn09309;rxn09387;rxn07926;rxn08314;rxn09190;rxn08747;rxn09380;rxn07919;rxn08028;rxn08908;rxn08581;rxn08625;rxn05222;rxn09352;rxn08241;rxn08322;rxn08135;rxn09223;rxn08755;rxn08730;rxn09196;rxn09005;rxn09347;rxn08589;rxn08186;rxn09050;rxn08012;rxn08059;rxn08374;rxn08685;rxn08564;rxn07930;rxn09061;rxn07927;rxn08995;rxn08342;rxn09361;rxn08042;rxn08344;rxn08868;rxn08324;rxn09334;rxn08175;rxn08236;rxn09260;rxn08560;rxn08096;rxn08305;rxn05532;rxn08539;rxn08117;rxn08795;rxn08617;rxn05292;rxn09121;rxn08945;rxn09218;rxn08579;rxn08680;rxn08691;rxn07928;rxn08645;rxn07972;rxn08037;rxn05467;rxn09193;rxn09300;rxn05206;rxn09228;rxn29147;rxn09284;rxn09307;rxn08267;rxn08359;rxn08424;rxn08639;rxn05310;rxn09248;rxn08358;rxn09266;rxn09275;rxn08917;rxn08574;rxn08859;rxn09118;rxn09349;rxn08426;rxn08587;rxn08911;rxn07925;rxn08726;rxn09172;rxn08065;rxn08621;rxn08461;rxn08049;rxn08009;rxn08635;rxn08525;rxn09330;rxn09080;rxn08234
1,b2215,rxn08786;rxn08217;rxn08051;rxn08585;rxn08886;rxn09287;rxn08554;rxn09048;rxn09353;rxn09378;rxn07921;rxn08211;rxn08721;rxn09385;rxn09382;rxn08320;rxn08577;rxn09286;rxn08856;rxn08864;rxn08950;rxn09390;rxn08653;rxn05468;rxn08279;rxn05319;rxn08633;rxn08999;rxn05586;rxn08142;rxn09323;rxn08883;rxn09335;rxn08039;rxn09318;rxn09317;rxn08197;rxn09243;rxn08104;rxn08880;rxn08545;rxn09258;rxn09216;rxn08743;rxn08036;rxn05466;rxn08363;rxn08623;rxn08570;rxn08732;rxn08677;rxn08030;rxn08276;rxn09243;rxn08737;rxn08780;rxn05616;rxn05507;rxn08351;rxn12420;rxn08595;rxn08290;rxn05218;rxn09166;rxn09337;rxn08991;rxn08751;rxn08674;rxn08702;rxn08672;rxn09030;rxn08134;rxn08610;rxn08947;rxn08956;rxn08047;rxn05220;rxn08614;rxn08664;rxn08303;rxn08182;rxn09204;rxn08082;rxn09342;rxn08284;rxn08006;rxn08375;rxn08593;rxn08749;rxn08432;rxn08302;rxn09278;rxn08063;rxn08562;rxn09339;rxn08643;rxn08920;rxn08759;rxn09169;rxn08214;rxn09257;rxn07975;rxn08544;rxn09229;rxn05667;rxn07973;rxn08099;rxn08115;rxn08428;rxn08572;rxn09183;rxn08004;rxn08537;rxn08966;rxn05245;rxn07931;rxn08265;rxn05238;rxn09008;rxn08315;rxn08723;rxn07974;rxn08960;rxn08005;rxn05568;rxn09303;rxn08534;rxn08184;rxn09366;rxn08032;rxn09036;rxn08640;rxn08283;rxn08170;rxn09271;rxn09185;rxn08689;rxn08155;rxn05581;rxn05212;rxn08915;rxn09299;rxn08566;rxn08159;rxn08540;rxn08600;rxn08985;rxn09309;rxn09387;rxn07926;rxn08314;rxn09190;rxn08747;rxn09380;rxn07919;rxn08028;rxn08908;rxn08581;rxn08625;rxn05222;rxn09352;rxn08241;rxn08322;rxn08135;rxn09223;rxn08755;rxn08730;rxn09196;rxn09005;rxn09347;rxn08589;rxn08186;rxn09050;rxn08012;rxn08059;rxn08374;rxn08685;rxn08564;rxn07930;rxn09061;rxn07927;rxn08995;rxn08342;rxn09361;rxn08042;rxn08344;rxn08868;rxn08324;rxn09334;rxn08175;rxn08236;rxn09260;rxn08560;rxn08096;rxn08305;rxn05532;rxn08539;rxn08117;rxn08795;rxn08617;rxn05292;rxn09121;rxn08945;rxn09218;rxn08579;rxn08680;rxn08691;rxn07928;rxn08645;rxn07972;rxn08037;rxn05467;rxn09193;rxn09300;rxn05206;rxn09228;rxn29147;rxn09284;rxn09307;rxn08267;rxn08359;rxn08424;rxn08639;rxn05310;rxn09248;rxn08358;rxn09266;rxn09275;rxn08917;rxn08574;rxn08859;rxn09118;rxn09349;rxn08426;rxn08587;rxn08911;rxn07925;rxn08726;rxn09172;rxn08065;rxn08621;rxn08461;rxn08049;rxn08009;rxn08635;rxn08525;rxn09330;rxn09080;rxn08234
2,b1377,rxn08786;rxn08217;rxn09287;rxn08585;rxn08886;rxn08554;rxn09048;rxn09353;rxn09378;rxn07921;rxn08211;rxn08721;rxn09385;rxn09382;rxn08320;rxn08577;rxn09286;rxn08856;rxn08864;rxn08950;rxn09390;rxn08653;rxn05468;rxn08279;rxn05319;rxn08633;rxn08999;rxn05586;rxn08142;rxn09323;rxn08883;rxn09335;rxn08039;rxn09318;rxn09317;rxn08197;rxn09243;rxn08104;rxn08880;rxn08545;rxn09258;rxn09216;rxn08743;rxn08036;rxn05466;rxn08363;rxn08623;rxn08570;rxn08732;rxn08677;rxn08030;rxn08276;rxn09243;rxn08737;rxn08780;rxn05616;rxn05507;rxn08351;rxn12420;rxn08595;rxn08290;rxn05218;rxn09166;rxn09337;rxn08991;rxn08751;rxn08674;rxn08702;rxn08672;rxn09030;rxn08134;rxn08610;rxn08947;rxn08956;rxn08047;rxn05220;rxn08614;rxn08664;rxn08303;rxn08182;rxn09204;rxn08082;rxn09342;rxn08284;rxn08006;rxn08375;rxn08593;rxn08749;rxn08432;rxn08302;rxn09278;rxn08063;rxn08562;rxn09339;rxn08643;rxn08920;rxn08759;rxn09169;rxn08214;rxn09257;rxn07975;rxn08544;rxn09229;rxn05667;rxn07973;rxn08099;rxn08115;rxn08428;rxn08572;rxn09183;rxn08004;rxn08537;rxn08966;rxn05245;rxn07931;rxn08265;rxn05238;rxn09008;rxn08315;rxn08723;rxn07974;rxn08960;rxn08005;rxn05568;rxn09303;rxn08534;rxn08184;rxn09366;rxn08032;rxn09036;rxn08640;rxn08283;rxn08170;rxn09271;rxn09185;rxn08689;rxn08155;rxn05581;rxn05212;rxn08915;rxn09299;rxn08566;rxn08159;rxn08540;rxn08600;rxn08985;rxn09309;rxn09387;rxn07926;rxn08314;rxn09190;rxn08747;rxn09380;rxn07919;rxn08028;rxn08908;rxn08581;rxn08625;rxn05222;rxn09352;rxn08241;rxn08322;rxn08135;rxn09223;rxn08755;rxn08730;rxn09196;rxn09005;rxn09347;rxn08589;rxn08186;rxn09050;rxn08012;rxn08059;rxn08374;rxn08685;rxn08564;rxn07930;rxn09061;rxn07927;rxn08995;rxn08342;rxn09361;rxn08042;rxn08344;rxn08868;rxn08324;rxn09334;rxn08175;rxn08236;rxn09260;rxn08560;rxn08096;rxn08305;rxn05532;rxn08539;rxn08117;rxn08795;rxn08617;rxn05292;rxn09121;rxn08945;rxn09218;rxn08579;rxn08680;rxn08691;rxn07928;rxn08645;rxn07972;rxn08037;rxn05467;rxn09193;rxn09300;rxn05206;rxn09228;rxn29147;rxn09284;rxn09307;rxn08267;rxn08359;rxn08424;rxn08639;rxn05310;rxn09248;rxn08358;rxn09266;rxn09275;rxn08917;rxn08574;rxn08859;rxn09118;rxn09349;rxn08426;rxn08587;rxn08911;rxn07925;rxn08726;rxn09172;rxn08065;rxn08621;rxn08461;rxn08049;rxn08009;rxn08635;rxn08525;rxn09330;rxn09080;rxn08234
3,b0929,rxn08786;rxn08217;rxn08051;rxn08585;rxn08886;rxn09287;rxn08554;rxn09048;rxn09353;rxn09378;rxn07921;rxn08211;rxn08721;rxn09385;rxn09382;rxn08320;rxn08577;rxn09286;rxn08856;rxn08864;rxn08950;rxn09390;rxn08653;rxn05468;rxn08279;rxn05319;rxn08633;rxn08999;rxn05586;rxn08142;rxn09323;rxn08883;rxn09335;rxn08039;rxn09318;rxn09317;rxn08197;rxn09243;rxn08104;rxn08880;rxn08545;rxn09258;rxn09216;rxn08743;rxn08036;rxn05466;rxn08363;rxn08623;rxn08570;rxn08732;rxn08677;rxn08030;rxn08276;rxn09243;rxn08737;rxn08780;rxn05616;rxn05507;rxn08351;rxn12420;rxn08595;rxn08290;rxn05218;rxn09166;rxn09337;rxn08991;rxn08751;rxn08674;rxn08702;rxn08672;rxn09030;rxn08134;rxn08610;rxn08947;rxn08956;rxn08047;rxn05220;rxn08614;rxn08664;rxn08303;rxn08182;rxn09204;rxn08082;rxn09342;rxn08284;rxn08006;rxn08375;rxn08593;rxn08749;rxn08432;rxn08302;rxn09278;rxn08063;rxn08562;rxn09339;rxn08643;rxn08920;rxn08759;rxn09169;rxn08214;rxn09257;rxn07975;rxn08544;rxn09229;rxn05667;rxn07973;rxn08099;rxn08115;rxn08428;rxn08572;rxn09183;rxn08004;rxn08537;rxn08966;rxn05245;rxn07931;rxn08265;rxn05238;rxn09008;rxn08315;rxn08723;rxn07974;rxn08960;rxn08005;rxn05568;rxn09303;rxn08534;rxn08184;rxn09366;rxn08032;rxn09036;rxn08640;rxn08283;rxn08170;rxn09271;rxn09185;rxn08689;rxn08155;rxn05581;rxn05212;rxn08915;rxn09299;rxn08566;rxn08159;rxn08540;rxn08600;rxn08985;rxn09309;rxn09387;rxn07926;rxn08314;rxn09190;rxn08747;rxn09380;rxn07919;rxn08028;rxn08908;rxn08581;rxn08625;rxn05222;rxn09352;rxn08241;rxn08322;rxn08135;rxn09223;rxn08755;rxn08730;rxn09196;rxn09005;rxn09347;rxn08589;rxn08186;rxn09050;rxn08012;rxn08059;rxn08374;rxn08685;rxn08564;rxn07930;rxn09061;rxn07927;rxn08995;rxn08342;rxn09361;rxn08042;rxn08344;rxn08868;rxn08324;rxn09334;rxn08175;rxn08236;rxn09260;rxn08560;rxn08096;rxn08305;rxn05532;rxn08539;rxn08117;rxn08795;rxn08617;rxn05292;rxn09121;rxn08945;rxn09218;rxn08579;rxn08680;rxn08691;rxn07928;rxn08645;rxn07972;rxn08037;rxn05467;rxn09193;rxn09300;rxn05206;rxn09228;rxn29147;rxn09284;rxn09307;rxn08267;rxn08359;rxn08424;rxn08639;rxn05310;rxn09248;rxn08358;rxn09266;rxn09275;rxn08917;rxn08574;rxn08859;rxn09118;rxn09349;rxn08426;rxn08587;rxn08911;rxn07925;rxn08726;rxn09172;rxn08065;rxn08621;rxn08461;rxn08049;rxn08009;rxn08635;rxn08525;rxn09330;rxn09080;rxn08234
4,b4032;b4033;b4034;b4035,rxn05170;rxn05608;rxn08869;rxn08871;rxn07923;rxn08877
5,b4036,rxn08617;rxn08874;rxn08876;rxn08873;rxn08870;rxn07924;rxn08878
6,b4213,rxn03483;rxn01704;rxn02762;rxn01139;rxn01367;rxn02521;rxn02522;rxn01549
7,b2835,rxn07937;rxn07941;rxn07959;rxn07958;rxn07954;rxn07933;rxn07936;rxn07935;rxn07956;rxn07942;rxn07944;rxn07938;rxn07943;rxn07957;rxn07934;rxn07940;rxn07932;rxn07945;rxn07939;rxn07955;rxn07953
8,b2836,rxn07950;rxn07952;rxn07961;rxn07965;rxn07964;rxn07960;rxn07946;rxn07962;rxn07963;rxn07947;rxn07951;rxn07949;rxn07948;rxn07966
9,b3553,rxn07969;rxn08347;rxn01013;rxn07970;rxn07967;rxn00512;rxn01011;rxn01277;rxn08346;rxn00324
